,Alimento,Descricao,Grupo,Calorias,Carboidratos,Proteinas,Gorduras,FonteDeCarboidratos,IG
0,Babyfood,"Babyfood, cereal, barley, with milk powder, dry",Babyfoods,384,73.75,12.73,5.7,1,45.0
1,Babyfood,"Babyfood, cereal, barley, with milk powder, prepared with water",Babyfoods,122,23.45,4.05,1.81,1,45.0
2,Babyfood,"Babyfood, cereal, mixed grain, dry",Babyfoods,396,73.41,12.54,6.28,1,45.0
3,Babyfood,"Babyfood, cereal, mixed grain, prepared with formula or breast milk",Babyfoods,167,27.74,4.89,4.22,1,45.0
4,Babyfood,"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, dry",Babyfoods,404,71.68,13.0,9.05,1,45.0
5,Babyfood,"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, prepared with water",Babyfoods,117,20.84,3.78,2.63,1,45.0
6,Babyfood,"Babyfood, cereal, mixed grain, with fruit, dry",Babyfoods,372,75.04,10.35,4.73,1,45.0
7,Babyfood,"Babyfood, cereal, mixed grain, with fruit, prepared with formula or breast milk",Babyfoods,140,23.83,3.63,3.65,1,45.0
8,Babyfood,"Babyfood, cereal, mixed grain, with milk powder and fruit, dry",Babyfoods,395,70.27,14.98,7.7,1,45.0
9,Babyfood,"Babyfood, cereal, mixed grain, with milk powder and fruit, prepared with water",Babyfoods,123,21.95,4.68,2.41,1,45.0
10,Babyfood,"Babyfood, cereal, mixed grain, with milk powder, dry",Babyfoods,400,69.28,16.19,8.47,1,45.0
11,Babyfood,"Babyfood, cereal, mixed grain, with milk powder, prepared with water",Babyfoods,167,28.96,6.77,3.54,1,45.0
12,Babyfood,"Babyfood, cereal, oat, dry",Babyfoods,403,72.58,11.88,7.5,1,45.0
13,Babyfood,"Babyfood, cereal, oat, prepared with formula or breast milk",Babyfoods,153,24.23,4.17,4.39,1,45.0
14,Babyfood,"Babyfood, cereal, oat, with milk powder and fruit, dry",Babyfoods,392,72.3,12.7,7.74,1,45.0
15,Babyfood,"Babyfood, cereal, oat, with milk powder and fruit, prepared with water",Babyfoods,118,21.74,3.82,2.33,1,45.0
16,Babyfood,"Babyfood, cereal, oat, with milk powder, dry",Babyfoods,414,65.67,18.11,9.5,1,45.0
17,Babyfood,"Babyfood, cereal, Oat, with milk powder, prepared with water",Babyfoods,121,19.15,5.28,2.77,1,45.0
18,Babyfood,"Babyfood, cereal, ready to eat, 'O' shaped",Babyfoods,366,75.99,10.46,5.14,1,45.0
19,Babyfood,"Babyfood, cereal, ready-to-eat, 'O' Shaped with whole milk",Babyfoods,92,12.14,3.9,3.44,1,45.0
20,Babyfood,"Babyfood, cereal, rice, dry",Babyfoods,400,84.98,7.64,2.5,1,45.0
21,Babyfood,"Babyfood, cereal, rice, prepared with formula or breast milk",Babyfoods,154,27.92,3.1,3.09,1,45.0
22,Babyfood,"Babyfood, cereal, rice, with milk powder and fruit, dry",Babyfoods,404,71.83,12.86,9.75,1,45.0
23,Babyfood,"Babyfood, cereal, rice, with milk powder and fruit, prepared with water",Babyfoods,121,21.54,3.86,2.92,1,45.0
24,Babyfood,"Babyfood, cereal, rice, with milk powder, dry",Babyfoods,409,73.06,12.88,8.09,1,45.0
25,Babyfood,"Babyfood, cereal, Rice, with milk powder, prepared with water",Babyfoods,125,22.41,3.95,2.48,1,45.0
26,Babyfood,"Babyfood, cereal, rice, with yogourt, with fruit, dry",Babyfoods,389,73.94,11.33,7.11,1,45.0
27,Babyfood,"Babyfood, cereal, rice, with yogourt, with fruit, prepared with water",Babyfoods,117,22.24,3.41,2.14,1,45.0
28,Babyfood,"Babyfood, cereal, soya, with fruit, dry",Babyfoods,364,55.75,21.55,9.17,1,45.0
29,Babyfood,"Babyfood, cereal, soya, with fruit, prepared with formula or breast milk",Babyfoods,139,19.28,6.43,4.75,1,45.0
30,Babyfood,"Babyfood, cereal, wheat, dry",Babyfoods,387,83.29,13.38,1.39,1,45.0
31,Babyfood,"Babyfood, cereal, wheat, prepared with formula or breast milk",Babyfoods,137,24.38,4.14,2.87,1,45.0
32,Babyfood,"Babyfood, cereal, wheat, with milk powder and fruit, dry",Babyfoods,404,69.0,16.95,9.18,1,45.0
33,Babyfood,"Babyfood, cereal, wheat, with milk powder and fruit, prepared with water",Babyfoods,123,20.95,5.15,2.79,1,45.0
34,Babyfood,"Babyfood, cereal, wheat, with milk powder, dry",Babyfoods,421,69.64,16.4,9.85,1,45.0
35,Babyfood,"Babyfood, cereal, wheat, with milk powder, prepared with water",Babyfoods,139,23.03,5.42,3.26,1,45.0
36,Babyfood,"Babyfood, dessert, jarred, apricot, all stages",Babyfoods,73,19.47,0.6,0.05,1,45.0
37,Babyfood,"Babyfood, dessert, jarred, banana graham pie",Babyfoods,90,18.48,0.68,2.51,1,45.0
38,Babyfood,"Babyfood, dessert, jarred, banana with coconut cream",Babyfoods,93,19.54,1.12,2.19,1,45.0
39,Babyfood,"Babyfood, dessert, jarred, blueberry, all stages",Babyfoods,64,16.91,0.28,0.22,1,45.0
40,Babyfood,"Babyfood, dessert, jarred, custard (includes vanilla custard)",Babyfoods,95,17.17,1.89,2.42,1,45.0
41,Babyfood,"Babyfood, dessert, jarred, fruit",Babyfoods,79,21.29,0.52,0.02,1,45.0
42,Babyfood,"Babyfood, dessert, jarred, strawberry",Babyfoods,124,34.13,0.23,0.04,1,45.0
43,Babyfood,"Babyfood, dinner, jarred or frozen, beef with pasta and vegetables, all stages",Babyfoods,74,9.93,3.24,2.28,1,45.0
44,Babyfood,"Babyfood, dinner, jarred or frozen, beef with vegetables, all stages",Babyfoods,63,8.04,3.36,1.95,1,45.0
45,Babyfood,"Babyfood, dinner, jarred or frozen, chicken with rice or barley and vegetables, all stages",Babyfoods,73,10.44,3.18,1.9,1,45.0
46,Babyfood,"Babyfood, dinner, jarred or frozen, chicken with vegetables, all stages",Babyfoods,73,6.37,3.69,3.65,1,45.0
47,Babyfood,"Babyfood, dinner, jarred or frozen, turkey with rice or barley and vegetables, all stages",Babyfoods,62,9.08,3.34,1.27,1,45.0
48,Babyfood,"Babyfood, dinner, jarred, chicken with cheese pasta and vegetables, all stages",Babyfoods,71,8.74,5.24,1.53,1,45.0
49,Babyfood,"Babyfood, dinner, jarred, chicken with pasta and vegetables, all stages",Babyfoods,68,9.73,3.4,1.62,1,45.0
50,Babyfood,"Babyfood, dinner, jarred, chicken with vegetables and fruit",Babyfoods,86,13.65,2.88,2.03,1,45.0
51,Babyfood,"Babyfood, dinner, jarred, pasta with cheese and vegetables",Babyfoods,100,14.3,3.92,2.85,1,45.0
52,Babyfood,"Babyfood, dinner, jarred, pasta with vegetables",Babyfoods,70,10.4,2.04,2.17,1,45.0
53,Babyfood,"Babyfood, dinner, jarred, pork with vegetables and fruit",Babyfoods,71,8.63,3.55,2.33,1,45.0
54,Babyfood,"Babyfood, dinner, jarred, turkey with vegetables, all stages",Babyfoods,52,8.8,3.06,0.46,1,45.0
55,Babyfood,"Babyfood, dinner, lamb with fruit",Babyfoods,127,13.51,6.05,5.22,1,45.0
56,Babyfood,"Babyfood, dinner, veal with vegetables and barley",Babyfoods,77,9.37,5.75,1.64,1,45.0
57,Babyfood,"Babyfood, fruit, jarred, apple (applesauce), all stages",Babyfoods,45,11.97,0.53,0.03,1,45.0
58,Babyfood,"Babyfood, fruit, jarred, apple and berries (blueberries, raspberries or strawberries), all stages",Babyfoods,52,14.22,0.35,0.02,1,45.0
59,Babyfood,"Babyfood, fruit, jarred, apple and other fruit (plum, mango, kiwi, pear, banana, apricot and/or pineapple), all stages",Babyfoods,57,15.3,0.45,0.04,1,45.0
60,Babyfood,"Babyfood, fruit, jarred, apricot and other fruit",Babyfoods,54,14.46,0.59,0.04,1,45.0
61,Babyfood,"Babyfood, fruit, jarred, banana and other fruit",Babyfoods,67,17.58,1.16,0.02,1,45.0
62,Babyfood,"Babyfood, fruit, jarred, banana, all stages",Babyfoods,81,21.26,1.13,0.05,1,45.0
63,Babyfood,"Babyfood, fruit, jarred, mixed fruit",Babyfoods,63,16.75,0.74,0.08,1,45.0
64,Babyfood,"Babyfood, fruit, jarred, peach, all stages",Babyfoods,58,14.76,1.1,0.09,1,45.0
65,Babyfood,"Babyfood, fruit, jarred, pear, all stages",Babyfoods,57,15.29,0.57,0.06,1,45.0
66,Babyfood,"Babyfood, fruit, jarred, prunes",Babyfoods,79,20.72,1.11,0.07,1,45.0
67,Babyfood,"Babyfood, juice, apple and prune",Babyfoods,37,9.27,0.2,0.0,1,45.0
68,Babyfood,"Babyfood, juice, apple, all stages",Babyfoods,47,11.84,0.11,0.01,1,45.0
69,Babyfood,"Babyfood, juice, pear, all stages",Babyfoods,48,12.05,0.12,0.0,1,45.0
70,Babyfood,"Babyfood, meat, jarred and frozen, beef, puree",Babyfoods,123,0.6,13.84,6.86,0,45.0
71,Babyfood,"Babyfood, meat, jarred and frozen, chicken, puree",Babyfoods,126,1.19,15.01,6.38,0,45.0
72,Babyfood,"Babyfood, meat, lamb, puree",Babyfoods,197,4.28,13.39,13.63,0,45.0
73,Babyfood,"Babyfood, meat, pork, puree",Babyfoods,119,0.94,14.63,5.85,0,45.0
74,Babyfood,"Babyfood, meat, turkey, puree",Babyfoods,102,1.39,15.02,3.57,0,45.0
75,Babyfood,"Babyfood, meat, veal, puree",Babyfoods,117,1.37,14.01,5.74,0,45.0
76,Babyfood,"Babyfood, mixed fruit with oatmeal cereal, all stages",Babyfoods,91,20.66,1.16,0.47,1,45.0
77,Babyfood,"Babyfood, snack, biscuit, mixed grain",Babyfoods,380,74.52,7.51,9.33,1,45.0
78,Babyfood,"Babyfood, snack, biscuit, rice",Babyfoods,365,76.27,12.06,0.65,1,45.0
79,Babyfood,"Babyfood, snack, biscuit, wheat with milk powder",Babyfoods,391,71.82,12.22,7.27,1,45.0
80,Babyfood,"Babyfood, vegetable and grain, jarred, creamed corn with rice",Babyfoods,58,12.01,1.78,1.27,1,45.0
81,Babyfood,"Babyfood, vegetables and fruit, jarred, green beans and apple",Babyfoods,35,8.65,1.32,0.13,1,45.0
82,Babyfood,"Babyfood, vegetables and fruit, zucchini and apple",Babyfoods,35,8.41,1.67,0.1,1,45.0
83,Babyfood,"Babyfood, vegetables, jarred, broccoli and potato with cheese",Babyfoods,50,7.91,3.01,1.63,1,45.0
84,Babyfood,"Babyfood, vegetables, jarred, carrots, all stages",Babyfoods,24,5.31,0.84,0.11,1,45.0
85,Babyfood,"Babyfood, vegetables, jarred, creamed corn",Babyfoods,53,10.35,1.77,1.39,1,45.0
86,Babyfood,"Babyfood, vegetables, jarred, green beans, all stages",Babyfoods,28,6.58,1.45,0.15,1,45.0
87,Babyfood,"Babyfood, vegetables, jarred, mixed vegetables, all stages",Babyfoods,41,9.4,2.03,0.25,1,45.0
88,Babyfood,"Babyfood, vegetables, jarred, peas, all stages",Babyfoods,41,8.34,3.33,0.34,1,45.0
89,Babyfood,"Babyfood, vegetables, jarred, squash, all stages",Babyfoods,26,5.7,0.82,0.08,1,45.0
90,Babyfood,"Babyfood, vegetables, jarred, sweet potato, all stages",Babyfoods,47,10.65,1.19,0.07,1,45.0
91,Babyfood,"Babyfood, vegetables, peas and carrots, all stages",Babyfoods,38,8.17,2.89,0.26,1,45.0
92,Babyfood,"Babyfood, yogourt, fruit flavours, with added Vitamin D and DHA",Babyfoods,97,13.14,3.7,3.47,1,45.0
94,Bagel,"Bagel, cinnamon-raisin",Baked Products,274,55.2,9.8,1.7,1,72.0
95,Bagel,"Bagel, cinnamon-raisin, toasted",Baked Products,294,59.3,10.6,1.8,1,72.0
96,Bagel,"Bagel, egg",Baked Products,278,53.0,10.6,2.1,1,72.0
97,Bagel,"Bagel, oat bran",Baked Products,255,53.3,10.7,1.2,1,72.0
98,Bagel,"Bagel, plain (with onion, poppy seed and/or sesame seed)",Baked Products,264,52.38,10.56,1.32,1,72.0
99,Bagel,"Bagel, plain (with onion, poppy seed and/or sesame seed), toasted",Baked Products,289,57.11,11.14,1.72,1,72.0
100,Bagel,"Bagel, whole-wheat (multigrain)",Baked Products,250,48.89,10.2,1.53,1,72.0
102,Bar,"Bar, milk and cereal",Baked Products,413,72.05,6.47,10.98,1,27.0
103,Biscuit,"Biscuit, multigrain, refrigerated dough",Baked Products,263,47.4,6.1,5.6,1,67.0
104,Biscuit,"Biscuit, plain/buttermilk, dry mix, prepared",Baked Products,335,48.4,7.3,12.1,1,67.0
105,Biscuit,"Biscuit, plain/buttermilk, dry mix, unprepared",Baked Products,428,63.4,8.0,15.4,1,67.0
106,Biscuit,"Biscuit, plain/buttermilk, frozen, baked",Baked Products,338,53.87,6.2,11.03,1,67.0
107,Biscuit,"Biscuit, plain/buttermilk, homemade",Baked Products,353,44.6,7.0,16.3,1,67.0
108,Biscuit,"Biscuit, plain/buttermilk, refrigerated dough, higher fat",Baked Products,307,46.32,6.66,10.58,1,67.0
109,Biscuit,"Biscuit, plain/buttermilk, refrigerated dough, higher fat, baked",Baked Products,324,49.05,6.79,11.22,1,67.0
110,Biscuit,"Biscuit, plain/buttermilk, refrigerated dough, lower fat",Baked Products,270,43.7,6.7,7.83,1,67.0
111,Biscuit,"Biscuit, plain/buttermilk, refrigerated dough, lower fat, baked",Baked Products,299,55.4,7.8,5.2,1,67.0
112,Bread crumbs,"Bread crumbs, dry, grated, plain",Baked Products,395,71.98,13.35,5.3,1,72.0
113,Bread crumbs,"Bread crumbs, dry, grated, seasoned",Baked Products,384,68.49,14.13,5.48,1,72.0
114,Bread pudding,"Bread pudding, with raisins, homemade",Baked Products,153,23.401,5.228,4.829,1,63.0
115,Bread stick,"Bread stick, plain",Baked Products,412,68.4,12.0,9.5,1,72.0
116,Bread stuffing,"Bread stuffing, cornbread, dry mix, prepared",Baked Products,179,21.9,2.9,8.8,1,55.0
117,Bread stuffing,"Bread stuffing, cornbread, dry mix, unprepared",Baked Products,389,76.7,10.0,4.2,1,55.0
118,Bread stuffing,"Bread stuffing, dry mix, prepared",Baked Products,177,21.7,3.2,8.6,1,55.0
119,Bread stuffing,"Bread stuffing, dry mix, unprepared",Baked Products,386,76.2,11.0,3.4,1,55.0
120,Bread,"Bread, 60% whole wheat, commercial",Baked Products,240,42.84,12.45,1.77,1,55.0
121,Bread,"Bread, 60% whole wheat, commercial, toasted",Baked Products,267,47.725,13.87,1.972,1,55.0
122,Bread,"Bread, banana, homemade, made with margarine",Baked Products,326,54.6,4.3,10.5,1,55.0
123,Bread,"Bread, Boston brown, canned",Baked Products,195,43.3,5.2,1.5,1,55.0
124,Bread,"Bread, cheese",Baked Products,408,44.83,10.42,20.83,1,55.0
125,Bread,"Bread, cornbread (also corn muffin mix), dry mix, prepared",Baked Products,330,54.46,6.59,9.58,1,55.0
126,Bread,"Bread, cornbread (also corn muffin mix), dry mix, unprepared",Baked Products,418,69.5,7.0,12.2,1,55.0
127,Bread,"Bread, cornbread, homemade, made with 2% milk",Baked Products,266,43.5,6.7,7.1,1,55.0
128,Bread,"Bread, egg (Challah)",Baked Products,287,47.8,9.5,6.0,1,55.0
129,Bread,"Bread, egg, (challah), toasted",Baked Products,315,52.6,10.5,6.6,1,55.0
130,Bread,"Bread, focaccia, Italian flatbread, plain",Baked Products,249,35.82,8.77,7.89,1,55.0
131,Bread,"Bread, French or Vienna (also sourdough)",Baked Products,272,51.88,10.75,2.42,1,55.0
132,Bread,"Bread, French or Vienna, (also sourdough), toasted",Baked Products,319,61.93,13.0,2.14,1,55.0
133,Bread,"Bread, 'fry bread', made with lard (Navajo)",Baked Products,330,48.26,6.69,12.22,1,55.0
134,Bread,"Bread, garlic",Baked Products,350,41.72,8.36,16.61,1,55.0
135,Bread,"Bread, garlic, toasted",Baked Products,369,50.622,8.64,14.429,1,55.0
136,Bread,"Bread, Irish soda, homemade",Baked Products,290,56.0,6.6,5.0,1,55.0
137,Bread,"Bread, Italian",Baked Products,260,49.44,8.82,2.51,1,55.0
138,Bread,"Bread, italian, toasted",Baked Products,287,54.55,9.73,2.77,1,55.0
139,Bread,"Bread, made with milk, commercial",Baked Products,263,48.26,10.01,3.01,1,55.0
140,Bread,"Bread, made with milk, commercial, toasted",Baked Products,290,53.14,11.02,3.31,1,55.0
141,Bread,"Bread, multigrain, commercial",Baked Products,267,46.88,11.01,3.49,1,55.0
142,Bread,"Bread, multigrain, commercial, reduced sodium",Baked Products,267,46.88,11.01,3.49,1,55.0
143,Bread,"Bread, multigrain, commercial, reduced sodium, toasted",Baked Products,294,51.64,12.13,3.84,1,55.0
144,Bread,"Bread, multigrain, toasted",Baked Products,294,51.64,12.13,3.84,1,55.0
145,Bread,"Bread, oat (includes oatmeal and oat bran), commercial",Baked Products,265,46.92,11.21,3.48,1,55.0
146,Bread,"Bread, oat (includes oatmeal and oat bran), commercial, toasted",Baked Products,292,51.65,12.34,3.83,1,55.0
147,Bread,"Bread, pita, white",Baked Products,275,55.7,9.1,1.2,1,55.0
148,Bread,"Bread, pita, whole-wheat",Baked Products,266,55.0,9.8,2.6,1,55.0
149,Bread,"Bread, potato",Baked Products,266,47.07,12.5,3.13,1,55.0
150,Bread,"Bread, protein (includes gluten)",Baked Products,245,43.8,12.1,2.2,1,55.0
151,Bread,"Bread, protein (includes gluten), toasted",Baked Products,270,48.1,13.2,2.4,1,55.0
152,Bread,"Bread, pumpernickel",Baked Products,251,51.05,7.33,1.65,1,55.0
153,Bread,"Bread, pumpernickel, toasted",Baked Products,278,56.47,8.11,1.83,1,55.0
154,Bread,"Bread, rice bran, gluten free",Baked Products,243,43.5,8.9,4.6,1,55.0
155,Bread,"Bread, rice bran, gluten free, toasted",Baked Products,264,47.3,9.7,5.0,1,55.0
156,Bread,"Bread, rye",Baked Products,251,48.78,9.04,1.99,1,55.0
157,Bread,"Bread, rye, toasted",Baked Products,278,54.01,10.01,2.2,1,55.0
158,Bread,"Bread, spelt, commercial",Baked Products,248,47.58,8.96,1.98,1,55.0
159,Bread,"Bread, spelt, commercial, toasted",Baked Products,275,52.79,9.94,2.2,1,55.0
160,Bread,"Bread, sprouted wheat with added calcium and vitamin D, commercial",Baked Products,250,41.19,12.98,3.3,1,55.0
161,Bread,"Bread, sprouted wheat with added calcium and vitamin D, commercial, toasted",Baked Products,278,45.77,14.42,3.67,1,55.0
162,Bread,"Bread, sprouted wheat, commercial",Baked Products,264,43.69,13.36,3.57,1,55.0
163,Bread,"Bread, sprouted wheat, commercial, toasted",Baked Products,291,48.16,14.73,3.94,1,55.0
164,Bread,"Bread, wheat germ",Baked Products,261,48.3,9.6,2.9,1,55.0
165,Bread,"Bread, wheat germ, toasted",Baked Products,293,54.3,10.7,3.3,1,55.0
166,Bread,"Bread, white with raisins, commercial",Baked Products,295,56.14,7.52,4.06,1,55.0
167,Bread,"Bread, white with raisins, commercial, toasted",Baked Products,320,60.84,8.15,4.4,1,55.0
168,Bread,"Bread, white, commercial",Baked Products,261,49.21,9.14,2.66,1,55.0
169,Bread,"Bread, white, commercial, reduced sodium",Baked Products,261,49.21,9.14,2.66,1,55.0
170,Bread,"Bread, white, commercial, toasted",Baked Products,288,54.28,10.08,2.93,1,55.0
171,Bread,"Bread, white, commercial, toasted, reduced sodium",Baked Products,288,54.28,10.08,2.93,1,55.0
172,Bread,"Bread, white, commercial, with added fibre",Baked Products,259,48.83,9.05,2.64,1,55.0
173,Bread,"Bread, white, commercial, with added fibre, toasted",Baked Products,286,53.92,9.99,2.92,1,55.0
174,Bread,"Bread, white, homemade with 2% milk",Baked Products,285,49.6,7.9,5.7,1,55.0
175,Bread,"Bread, white, homemade with nonfat dry milk",Baked Products,274,53.6,7.7,2.6,1,55.0
176,Bread,"Bread, whole grain (whole-wheat) + seeds (flax, sunflower), commercial, toasted",Baked Products,300,49.8,13.09,4.95,1,55.0
177,Bread,"Bread, whole grain (whole-wheat) +seeds (flax, sunflower), commercial",Baked Products,273,45.26,11.9,4.5,1,55.0
178,Bread,"Bread, whole grain (whole-wheat), +seeds and bran, commercial",Baked Products,266,45.71,12.15,3.45,1,55.0
179,Bread,"Bread, whole grain (whole-wheat), +seeds and bran, commercial, toasted",Baked Products,293,50.29,13.37,3.8,1,55.0
180,Bread,"Bread, whole grain (whole-wheat), commercial",Baked Products,262,46.41,10.96,3.29,1,55.0
181,Bread,"Bread, whole grain (whole-wheat), commercial, toasted",Baked Products,289,51.24,12.1,3.63,1,55.0
182,Bread,"Bread, whole grain (whole-wheat), with added fibre, commercial",Baked Products,253,46.38,10.29,2.49,1,55.0
183,Bread,"Bread, whole grain (whole-wheat), with added fibre, commercial, toasted",Baked Products,280,51.4,11.41,2.76,1,55.0
184,Bread,"Bread, whole wheat, commercial",Baked Products,257,45.64,10.7,3.03,1,55.0
185,Bread,"Bread, whole wheat, commercial, toasted",Baked Products,285,50.513000000000005,11.843,3.3547,1,55.0
186,Bread,"Bread, whole wheat, homemade (2/3 whole wheat flour)",Baked Products,278,51.4,8.4,5.4,1,55.0
187,Bread,"Bread, whole wheat, homemade (2/3 whole wheat flour), toasted",Baked Products,305,56.4,9.2,5.9,1,55.0
188,Breakfast bar,"Breakfast bar, corn flake crust with fruit",Baked Products,377,72.9,4.4,7.5,1,60.0
189,Breakfast tart,"Breakfast tart, low fat",Baked Products,372,76.8,3.99,5.99,1,60.0
190,Butter tart,"Butter tart, with raisins, homemade",Baked Products,459,52.868,4.518,26.355999999999998,1,70.0
191,Cake mix,"Cake mix, angel food, dry, unprepared",Baked Products,366,86.13,6.4,0.27,1,63.0
192,Cake mix,"Cake mix, carrot, pudding-type, dry, unprepared",Baked Products,415,79.2,5.1,9.8,1,63.0
193,Cake mix,"Cake mix, chocolate (devil's food, fudge), regular, dry, unprepared",Baked Products,428,73.0,5.9,15.6,1,63.0
194,Cake mix,"Cake mix, chocolate, pudding-type, dry, unprepared",Baked Products,391,80.16,4.6,8.14,1,63.0
195,Cake mix,"Cake mix, german chocolate, pudding-type mix, dry, unprepared",Baked Products,350,81.25,4.17,3.24,1,63.0
196,Cake mix,"Cake mix, gingerbread, dry, unprepared",Baked Products,437,74.6,4.4,13.8,1,63.0
197,Cake mix,"Cake mix, marble, pudding-type, dry, unprepared",Baked Products,416,79.5,3.4,11.7,1,63.0
198,Cake,"Cake, angel food, commercial",Baked Products,258,57.8,5.9,0.8,1,69.0
199,Cake,"Cake, angel food, dry mix, prepared",Baked Products,257,58.7,6.1,0.3,1,69.0
200,Cake,"Cake, Boston cream pie, commercial",Baked Products,252,42.9,2.4,8.5,1,69.0
201,Cake,"Cake, carrot, homemade, with cream cheese icing",Baked Products,407,52.879,3.818,20.846,1,69.0
202,Cake,"Cake, cherry fudge with chocolate icing (frosting)",Baked Products,264,38.0,2.4,12.5,1,69.0
203,Cake,"Cake, chocolate, commercial, with chocolate icing (frosting), in-store bakery",Baked Products,389,52.84,3.48,20.05,1,69.0
204,Cake,"Cake, chocolate, homemade, with chocolate icing (frosting)",Baked Products,374,61.606,3.5389999999999997,14.384,1,69.0
205,Cake,"Cake, chocolate, homemade, without icing (frosting)",Baked Products,371,53.4,5.3,15.1,1,69.0
206,Cake,"Cake, chocolate, pudding-type, dry mix, prepared, with chocolate icing (frosting)",Baked Products,365,56.376000000000005,3.322,15.697000000000001,1,69.0
207,Cake,"Cake, date square (matrimonial cake), homemade",Baked Products,371,61.35,4.386,13.308,1,69.0
208,Cake,"Cake, fruitcake, commercial",Baked Products,324,61.6,2.9,9.1,1,69.0
209,Cake,"Cake, gingerbread, dry mix, prepared, without icing",Baked Products,308,50.623000000000005,3.9989999999999997,10.203,1,69.0
210,Cake,"Cake, gingerbread, homemade",Baked Products,356,49.2,3.9,16.4,1,69.0
211,Cake,"Cake, pineapple upside-down, homemade",Baked Products,319,50.5,3.5,12.1,1,69.0
212,Cake,"Cake, pound, commercial, fat free",Baked Products,283,61.0,5.4,1.2,1,69.0
213,Cake,"Cake, pound, commercial, made with butter (includes fresh and frozen)",Baked Products,353,53.64,5.0,13.96,1,69.0
214,Cake,"Cake, pound, commercial, made with other than butter",Baked Products,389,52.5,5.2,17.9,1,69.0
215,Cake,"Cake, pound, homemade",Baked Products,429,45.838,5.644,25.279,1,69.0
216,Cake,"Cake, shortcake, biscuit-type, homemade",Baked Products,346,48.5,6.1,14.2,1,69.0
217,Cake,"Cake, snack cake, cream-filled, chocolate with icing (frosting)",Baked Products,399,60.31,3.63,15.93,1,69.0
218,Cake,"Cake, snack cake, cream-filled, sponge",Baked Products,374,64.03,3.47,11.54,1,69.0
219,Cake,"Cake, sponge, commercial",Baked Products,290,61.0,5.4,2.7,1,69.0
220,Cake,"Cake, sponge, homemade",Baked Products,297,57.7,7.3,4.3,1,69.0
221,Cake,"Cake, white, homemade, with coconut icing (frosting)",Baked Products,356,63.2,4.4,10.3,1,69.0
222,Cake,"Cake, white, homemade, without icing (frosting)",Baked Products,357,57.2,5.4,12.4,1,69.0
223,Cake,"Cake, white, pudding-type, dry mix, prepared, with chocolate icing",Baked Products,366,60.783,2.7460000000000004,13.280999999999999,1,69.0
224,Cake,"Cake, white, pudding-type, dry mix, unprepared",Baked Products,423,80.9,3.9,9.5,1,69.0
225,Cake,"Cake, white, regular, dry mix, unprepared",Baked Products,372,81.34,4.12,3.69,1,69.0
226,Cake,"Cake, yellow (plus streusel), pudding-type, dry mix, prepared, with icing",Baked Products,366,58.521,3.301,14.036,1,69.0
227,Cake,"Cake, yellow (plus streusel), pudding-type, dry mix, unprepared",Baked Products,423,80.0,4.0,9.8,1,69.0
228,Cake,"Cake, yellow, commercial, with chocolate icing (frosting), in-store bakery",Baked Products,379,55.36,3.16,17.75,1,69.0
229,Cake,"Cake, yellow, commercial, with vanilla (white) icing (frosting)",Baked Products,391,56.2,2.99,17.91,1,69.0
230,Cake,"Cake, yellow, homemade, without icing (frosting)",Baked Products,361,53.0,5.3,14.6,1,69.0
231,Cake,"Cake, yellow, light, dry mix, unprepared",Baked Products,404,84.1,4.7,5.5,1,69.0
232,Cake,"Cake, yellow, regular, dry mix, unprepared",Baked Products,374,81.92,3.7,3.5,1,69.0
233,Cheesecake,"Cheesecake, commercial",Baked Products,321,25.5,5.5,22.5,1,63.0
234,Cheesecake,"Cheesecake, plain, with cherry topping, homemade",Baked Products,273,32.736,6.218,13.579,1,63.0
235,Cheesecake,"Cheesecake, prepared from mix, no bake type",Baked Products,274,35.5,5.5,12.7,1,63.0
236,Cinnamon bun,"Cinnamon bun, with icing (honey bun)",Baked Products,452,48.6,4.45,26.61,1,69.0
237,Coffee cake mix,"Coffee cake mix, cinnamon with crumb topping, dry, unprepared",Baked Products,436,77.7,4.8,12.0,1,70.0
238,Coffee cake,"Coffee cake, cheese",Baked Products,339,44.3,7.0,15.2,1,70.0
239,Coffee cake,"Coffee cake, cinnamon with crumb topping, commercial",Baked Products,418,46.7,6.8,23.3,1,70.0
240,Coffee cake,"Coffee cake, cinnamon with crumb topping, dry mix, prepared",Baked Products,318,52.8,5.5,9.6,1,70.0
241,Coffee cake,"Coffee cake, cream filled, with chocolate icing (frosting)",Baked Products,331,53.8,5.0,10.8,1,70.0
242,Coffee cake,"Coffee cake, fruit",Baked Products,311,51.5,5.2,10.2,1,70.0
243,Cookie,"Cookie, animal crackers (arrowroot, social tea)",Baked Products,446,74.1,6.9,13.8,1,63.0
244,Cookie,"Cookie, brownie, commercial",Baked Products,405,63.9,4.8,16.3,1,63.0
245,Cookie,"Cookie, brownie, commercial, reduced fat",Baked Products,345,61.58,2.77,9.68,1,63.0
246,Cookie,"Cookie, brownie, homemade",Baked Products,466,50.2,6.2,29.1,1,63.0
247,Cookie,"Cookie, brownie, regular, dry mix, unprepared",Baked Products,434,76.6,4.0,14.9,1,63.0
248,Cookie,"Cookie, butter or sugar, with chocolate icing or filling",Baked Products,503,68.83,4.1,23.5,1,63.0
